,Champion,Tags,Key,Image,Lore,Ally Tips,Enemy Tips
JarvanIV,JarvanIV,"['Tank', 'Fighter']",59,"{'full': 'JarvanIV.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 144, 'y': 48, 'w': 48, 'h': 48}","Prince Jarvan, scion of the Lightshield dynasty, is heir apparent to the throne of Demacia. Raised to be a paragon of his nation's greatest virtues, he is forced to balance the heavy expectations placed upon him with his own desire to fight on the front lines. Jarvan inspires his troops with his fearsome courage and selfless determination, raising his family's colors high and revealing his true strength as a future leader of his people.","['You can use the Dragon Strike / Demacian Standard combo to get out of your own Cataclysm arenas.', 'Split your basic attacks on different champions at the beginning of fights to maximize damage.', 'Use Demacian Standard as a scouting tool when worried about incoming enemies.']","['Keep out of the path between Jarvan IV and his Demacian Standard to avoid being knocked up in the air.', ""Cataclysm's terrain is a frightening force to fight against, but movement abilities can go through it.""]"
AurelionSol,AurelionSol,['Mage'],136,"{'full': 'AurelionSol.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 432, 'y': 0, 'w': 48, 'h': 48}","Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his star-forging ways, Aurelion Sol will drag the very stars from the sky, if he must, in order to regain his freedom.","[""You can use Comet of Legend's flight to grow Starsurge to massive proportions."", 'Save Voice of Light to use as a defense against melee opponents if you need to - otherwise, use its slow to start a fight at long range.', 'Comet of Legend allows you to move quickly around the map; use it to put pressure on other lanes.']","[""Try to get inside his orbit, since his stars can't hurt you up close."", 'His stars disappear while stunned or silenced, giving you an easy opportunity to fight him.', 'He gains speed while chasing in a straight line, but taking damage makes him lose that momentum.', ""His Starsurge ability can grow to cover a huge area - don't stay in the same place too long!""]"
Riven,Riven,"['Fighter', 'Assassin']",92,"{'full': 'Riven.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 336, 'y': 0, 'w': 48, 'h': 48}","Once a swordmaster in the warhosts of Noxus, Riven is an expatriate in a land she previously tried to conquer. She rose through the ranks on the strength of her conviction and brutal efficiency, and was rewarded with a legendary runic blade and a warband of her own. However, on the Ionian front, Riven's faith in her homeland was tested and ultimately broken. Having severed all ties to the empire, she now seeks to find her place in a shattered world, even as rumors abound that Noxus itself has been reforged...","[""Riven's Broken Wings locks onto the champion your cursor is over at the time of cast. If you want to move past your opponent, make sure that your cursor is past your opponent as well."", 'Riven lacks a source of healing or strong defense and must compensate with burst combos. Lead into fights with Broken Wings and Ki Burst, while using Valor to escape and absorb counter-harass.']","['Riven has a great deal of mobility but she cannot move very far with any one skill. Rooting or silencing her during her combo will greatly reduce her effectiveness.', ""All of Riven's damage is physical, prioritize high Armor if an opposing Riven gets out of control."", ""Riven excels at dueling multiple melee attackers at once, as she will be on an almost equal footing damage-wise. If pairing up against Riven, don't go in as double melee until she has expended her full combo.""]"
Shyvana,Shyvana,"['Fighter', 'Tank']",102,"{'full': 'Shyvana.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 240, 'y': 48, 'w': 48, 'h': 48}","Shyvana is a creature with the magic of a rune shard burning within her heart. Though she often appears humanoid, she can take her true form as a fearsome dragon, incinerating her foes with fiery breath. Having saved the life of the crown prince Jarvan IV, Shyvana now serves uneasily in his royal guard, struggling to find acceptance among the suspicious people of Demacia.","[""Shyvana's abilities all benefit from attacking units. As a result, Attack Speed items are more valuable on her than most champions."", 'Flame Breath is great to level-up against difficult lane opponents.', 'Burnout is an ideal choice for jungling. Monsters will be hit by the full duration, and the speed boost improves her ganking potential.', ""It can be valuable to purchase one of the items that can slow enemies: Frozen Mallet, Dead Man's Plate, or Entropy.""]","[""A significant portion of Shyvana's power is generated through aggression, making her weak against opponents who are able to keep their distance."", ""All of Shyvana's basic abilities hit multiple enemies in dragon form. It's important for opposing champions to not cluster while fighting her."", ""Shyvana's Fury Bar indicate her ultimate can be activated. Harassing her when she's low on Fury can be very effective.""]"
Yuumi,Yuumi,"['Support', 'Mage']",350,"{'full': 'Yuumi.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 144, 'y': 96, 'w': 48, 'h': 48}","A magical cat from Bandle City, Yuumi was once the familiar of a yordle enchantress, Norra. When her master mysteriously disappeared, Yuumi became the Keeper of Norra's sentient Book of Thresholds, traveling through portals in its pages to search for her. Yearning for affection, Yuumi seeks friendly companions to partner with on her journey, protecting them with luminous shields and fierce resolve. While Book strives to keep her on task, Yuumi is often drawn to worldly comforts, such as naps and fish. In the end, however, she always returns to her quest to find her friend.",[],[]
KogMaw,KogMaw,"['Marksman', 'Mage']",96,"{'full': 'KogMaw.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 0, 'y': 0, 'w': 48, 'h': 48}","Belched forth from a rotting Void incursion deep in the wastelands of Icathia, Kog'Maw is an inquisitive yet putrid creature with a caustic, gaping mouth. This particular Void-spawn needs to gnaw and drool on anything within reach to truly understand it. Though not inherently evil, Kog'Maw's beguiling naiveté is dangerous, as it often precedes a feeding frenzy—not for sustenance, but to satisfy its unending curiosity.","[""Kog'Maw can outrange most champions with his Bio-Arcane Barrage ability."", 'Use Void Ooze to set up a perfect Living Artillery.', 'Make the most out of your Icathian Surprise.']","[""Kog'Maw doesn't have a good escape ability, so he is especially prone to ganks."", ""Run away from Kog'Maw after he dies!!!!"", 'The range on Living Artillery increases each rank.', ""Bio-Arcane Barrage allows Kog'Maw to kill Baron Nashor extremely early. It can be valuable to ward Nashor when Kog'Maw completes his Blade of the Ruined King.""]"
Velkoz,Velkoz,['Mage'],161,"{'full': 'Velkoz.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 48, 'y': 48, 'w': 48, 'h': 48}","It is unclear if Vel'Koz was the first Void-spawn to emerge on Runeterra, but there has certainly never been another to match his level of cruel, calculating sentience. While his kin devour or defile everything around them, he seeks instead to scrutinize and study the physical realm—and the strange, warlike beings that dwell there—for any weakness the Void might exploit. But Vel'Koz is far from a passive observer, striking back at threats with deadly plasma, or by disrupting the very fabric of the world itself.","['When laning, use Void Rift to kill minions while building stacks of Organic Deconstruction on your opponent. You can then follow up with your other abilities.', 'Shooting Plasma Fission diagonally and splitting at maximum range allows you to hit opponents that are out of the range of the initial missile, but is more challenging to pull off.', 'Be very careful about when to use Life Form Disintegration Ray. Many champions have abilities that can interrupt the spell.']","[""Vel'Koz is very dangerous if left alone in a fight. Try to focus him down early."", ""Vel'Koz has fairly low mobility and is vulnerable to ganks."", 'Life Form Disintegration Ray can be interrupted by stuns, silences and knockups.']"
Ekko,Ekko,"['Assassin', 'Fighter']",245,"{'full': 'Ekko.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 192, 'y': 96, 'w': 48, 'h': 48}","A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this freedom, when there's a threat to his friends he'll do anything to defend them. To outsiders, Ekko seems to achieve the impossible the first time, every time.","[""Chronobreak is a potent escape tool, but it can also be quite powerful when used offensively. Don't underestimate its damage potential."", ""If you can proc Z-Drive Resonance on an enemy champion, it's worth taking risks to do so. The bonus movement speed makes it easy to escape."", ""Phase Dive's dash is a great tool for setting up Ekko's other abilities. Use it to get double hits with Timewinder or get into position to detonate Parallel Convergence.""]","['Ekko is significantly weaker when his ultimate is down. Watch for the trail he leaves behind to determine if Chronobreak is available.', ""Ekko's stun zone takes 3 seconds to arm. Watch for the image he creates on cast and try to guess where the zone was placed."", 'The second hit of Timewinder does more damage than the first; try to avoid it.']"
Hecarim,Hecarim,"['Fighter', 'Tank']",120,"{'full': 'Hecarim.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 336, 'y': 0, 'w': 48, 'h': 48}","Hecarim is a spectral fusion of man and beast, cursed to ride down the souls of the living for all eternity. When the Blessed Isles fell into shadow, this proud knight was obliterated by the destructive energies of the Ruination, along with all his cavalry and their mounts. Now, whenever the Black Mist reaches out across Runeterra, he leads their devastating charge, reveling in the slaughter and crushing the foe beneath his armored hooves.","[""Spirit of Dread restores Health when nearby enemies take damage, including damage dealt by allies. Cast this during a large fight to maximize Hecarim's survivability."", 'Devastating Charge deals more damage based on the distance traveled. Try using Onslaught of Shadows or Summoner Spells such as Ghost or Flash to maximize this damage.']","['Hecarim gains life from nearby enemies with Spirit of Dread but lacks durability, use burst damage.', ""Hecarim's ultimate causes opponents to flee in terror. Spread out to reduce his power in fights.""]"
Malphite,Malphite,"['Tank', 'Fighter']",54,"{'full': 'Malphite.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 432, 'y': 0, 'w': 48, 'h': 48}","A massive creature of living stone, Malphite struggles to impose blessed order on a chaotic world. Birthed as a servitor-shard to an otherworldly obelisk known as the Monolith, he used his tremendous elemental strength to maintain and protect his progenitor, but ultimately failed. The only survivor of the destruction that followed, Malphite now endures Runeterra's soft folk and their fluid temperaments, while struggling to find a new role worthy of the last of his kind.","['Armor naturally reduces the rate that attacks go through Granite Shield, so Brutal Strikes will strengthen the shield against physical damage.', ""Despite his abilities scaling on Armor, some games require Malphite to get Magic Resist. When those games occur, try getting Aegis of the Legion, Mercury's Treads, and Guardian Angel.""]","[""If you're a physical damage character stay behind your allies when fighting Malphite. Ground Slam can significantly reduce your damage output."", 'Malphite is one of a couple tanks who are capable of jungling. Watch out if he gets Smite.']"
