leagueId,tier,number
0003dc0a-d06f-4a0f-872f-bfcc4f526f90,IRON,25
0005c9e5-61a5-488a-9bfc-dade2f25e406,GOLD,200
0009901b-f9b9-40ec-9aaf-48b0ba0c2530,SILVER,189
000fa54e-619a-4289-b69e-961e0a0ee289,BRONZE,134
00112302-ca78-470d-a63a-9b5563d47402,BRONZE,64
0012bcb9-e889-4f74-b390-96d486923c62,BRONZE,146
001375d3-0651-41ee-8dd5-534c7af1b492,IRON,107
0022b169-5615-4dc6-b3bc-8f2cda99e79b,PLATINUM,166
0023d7cb-16e2-4595-9fe3-c0edd24405fc,PLATINUM,200
002e942a-44ae-4000-9d94-e824ea1a8ece,BRONZE,72
00306a69-95af-413d-a793-94cb1611d0ef,SILVER,183
00363b65-756f-4a0f-ae94-e575a16a9c37,SILVER,189
0036f3ee-e2b6-43b7-9fb2-20e8aea8a532,GOLD,124
0038809d-48e1-43f3-ae86-1523b3598e12,GOLD,194
003a821a-1024-4ab1-8155-0c7c202a2914,SILVER,180
003cf8d4-aa32-4b46-ace9-9139b3186e5c,SILVER,186
0044a04a-f054-458e-a2fa-c702728dedce,SILVER,126
004deb6c-1011-4766-b4e9-a703429d7d5d,SILVER,177
00513db6-a7c2-4847-a849-3b80d1eb9dc2,GOLD,193
005434fd-f2f4-4420-b0a3-84d45051d282,BRONZE,141
0054c3e2-fc61-4f26-b432-8a5d1a6a5cdf,SILVER,186
005f003b-cec3-47bb-bb0e-adb4ebb00f23,GOLD,198
005f9d44-c73b-4e9b-b153-465b2815a4c7,SILVER,189
0065ec4a-7792-478b-a71b-3d862cc55b97,BRONZE,141
00683cb5-b162-446f-bfb1-d151f06ca43b,IRON,11
00743e39-e19b-4f1d-8433-0e54a537ccd1,PLATINUM,199
0074f559-9549-48bc-b497-8ae0fe018af3,SILVER,99
0075eab2-b85d-4b06-a4ab-ff98fefa9198,BRONZE,43
0079295b-6746-4557-99e6-f0523bcceddc,BRONZE,149
0083282e-0aaf-4b97-acbd-bb5e2c4d5c62,SILVER,191
00859f0b-0dc8-44ce-979a-efef70637914,SILVER,140
00893ffd-7dc2-4f00-a312-8c36431491eb,PLATINUM,195
008cc8a5-ead0-41f6-a5e1-96b6400e26c8,BRONZE,69
008da363-45af-4a07-87d2-f22567e27213,SILVER,125
008e32a9-81dc-47ae-825f-06455e201fab,GOLD,198
0099a344-e247-4f42-a045-2f1f8755b87b,BRONZE,70
009dbd27-1465-4743-b486-8e66433fd198,SILVER,178
009f9f74-d0e4-40fd-832f-3660936358e6,SILVER,178
00a56440-243d-4588-8e38-6c6c2126ab77,IRON,19
00a98d5a-293a-47c8-8d77-9a94a7bdd2da,IRON,27
00b1ba5f-95d6-41c4-8f33-79e74030fc47,IRON,70
00b5a81a-bdd1-4106-83aa-b480bbf0dc54,SILVER,178
00b5c759-8c0c-4e14-a7f6-751f42dd0d83,SILVER,96
00b6acb6-6192-4457-8bb1-b3b387a3032f,SILVER,188
00b7af43-f90a-4095-8b06-84718626b2cf,IRON,47
00bf2869-d705-45f1-8aac-dbe02cf52c47,BRONZE,90
00c06e19-6fcd-4c94-8f81-bf1961a46340,BRONZE,140
00c29fee-ac39-4c75-80df-4267de6b3cd9,GOLD,196
00c4d8d8-004d-43f6-a576-ecb816b304ca,BRONZE,123
00c67bff-3959-40de-b455-45c5b8d59fbe,SILVER,103
00d0871e-b89d-4910-b248-c4302d99a869,GOLD,195
00d2a3a6-dc13-4139-841c-2ebba64755b5,GOLD,193
00db3023-541b-4caa-af94-a594ab2cfe4d,SILVER,187
00de0030-651f-45d3-bd4d-f831be912214,GOLD,191
00de6a56-c921-4752-b23e-2208e921b38c,GOLD,112
00ed0703-3e12-40bf-8875-10de90fc9f7f,PLATINUM,200
00f3e0ad-cbd6-4a1d-bf42-8256e4a10fdb,IRON,21
00f481f6-5cf7-4ab4-87a2-589fef1c4295,GOLD,194
00f6889a-1faf-4086-b26f-d8567c1200b5,BRONZE,68
00f8ad96-56d6-4e8d-b396-ab609f3b1756,GOLD,196
00fdb790-d044-43fc-a895-afe5bca064cb,SILVER,189
010da9fa-8475-42b4-8b28-635a5f05f8c6,BRONZE,152
01157068-3042-4ad7-b155-86f41edd63ba,SILVER,182
01179368-2668-4474-9766-b340bbe5a68d,SILVER,203
011dd332-3415-43a8-be4b-13438be27753,BRONZE,40
0125c0c8-288b-42b8-a04a-f5b81a416616,SILVER,189
012cada9-7135-4826-b795-072b64631b37,GOLD,245
012e9f65-be28-410e-abe8-c527cabd4b41,IRON,72
0135eddb-790f-4cef-9426-26af7205263e,PLATINUM,198
013986a1-e549-4ec9-bb5e-13eed30e56d6,SILVER,188
013bce0d-8560-4614-85f6-985952255e7a,SILVER,186
013c8b8f-025f-4892-8a3d-01ce735de3b4,SILVER,187
014276b4-c751-453f-ae2d-7b8e3bb8e151,GOLD,198
0146205e-4737-40bb-b08d-51198fd8f552,GOLD,199
014a3622-5155-47f8-944f-403ba48c1b90,IRON,66
0154c21e-680f-4c0a-b386-a3c5de429a49,GOLD,198
01552fba-6ed2-49d2-9e89-3ac0fd472156,BRONZE,144
01555fb6-14cd-4bc5-be17-782bbee2eff3,PLATINUM,111
015dae40-8c68-4a27-aa1b-29e577b8cb8d,BRONZE,89
0163ee80-bdb0-4fdb-9d80-66830784c3b2,GOLD,159
01673c2b-8325-43a0-b602-e7b1361ba2e0,SILVER,184
01714182-f594-44f1-9ab6-3161dc7f8f98,GOLD,198
01735605-bf1e-4dae-9607-d6060ae455db,IRON,38
0173bec8-7197-44cf-a50d-8ee2b9eb3e43,IRON,21
0174c8a8-7ca6-4bf6-a4bc-edb175080d3b,BRONZE,68
01779a23-6c75-47fa-a011-67a0e287fa77,BRONZE,73
017b55ad-7446-4f6c-92e8-8ace236fa593,IRON,29
017fce3c-96f6-468d-96e6-c924440c7036,SILVER,187
01829203-aedf-4713-b80f-a9f97e620256,IRON,20
018bc61e-cd10-47a9-814e-6bb638832f67,SILVER,187
018d69f1-978b-4f1c-a9e6-e1cf79717356,GOLD,145
018e0307-a4c7-4bd1-a8f8-d8eee8442b56,GOLD,197
018fb182-628a-402c-b45c-bc9e3ab9e827,SILVER,100
0191a1d3-b6e0-40d0-9f14-dab1bf1478af,SILVER,98
01991ed7-9258-4bc8-811a-6d46750fb843,IRON,16
019b654e-fac7-4c52-9ef4-093d97701af8,GOLD,192
01aedef6-1633-4b5e-9788-79628514fa97,BRONZE,62
01af7e9e-4739-41cc-9dba-19746ef303e5,SILVER,175
01b70f98-4795-4d89-9587-71002aea838c,BRONZE,148
01ba5923-f3af-42ef-a0be-f31b43023881,SILVER,98
01c67540-1389-4fd0-81f7-bf5dff05879c,BRONZE,135
01cb5b9e-6651-4591-8fe8-5b27b837cf6e,SILVER,190
01d33938-3ff5-47c9-8a50-1c3b196fd0c5,BRONZE,52
01d6171f-c28c-4324-b756-ceee0f708c7b,SILVER,100
01d73911-913f-4863-9a5f-ba65a56c03a7,GOLD,139
01d85d30-0f74-41fc-9623-c5dbc72e076a,IRON,87
01db41d9-3d2e-4b65-8acb-750bcf932d4e,BRONZE,163
01dcf3bc-2475-488a-bce5-3253dfca8d4f,BRONZE,42
01dd0a7d-ad07-4373-8959-b3df4744d05d,BRONZE,142
01e72c74-64f8-4d60-b6cf-23882285741d,BRONZE,55
01e7dd6a-0f8c-4124-885b-0ed9c9108ff3,IRON,21
01e9afa5-633d-4c17-852d-df754bf16762,IRON,21
01ea70db-bc9f-4d87-b5ef-6f853fb980c3,SILVER,95
01ee5ed5-fef5-4293-9a8a-5ee6ad2539a1,GOLD,198
01f0f5e9-9c62-4727-bc23-37be8f5478af,GOLD,197
